2023-03-31 16:52:47,708 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\conda-environment.yaml
2023-03-31 16:52:47,709 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_created():278] file/dir created: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\wandb-metadata.json
2023-03-31 16:52:47,709 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_created():278] file/dir created: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:52:48,182 INFO    wandb-upload_0:3280 [upload_job.py:push():138] Uploaded file C:\Users\w2y\AppData\Local\Temp\tmpwnki1m8bwandb\uaesoz33-wandb-metadata.json
2023-03-31 16:52:49,720 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:52:51,559 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:52:51,737 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:52:55,757 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:52:56,597 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:52:57,767 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:52:59,780 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:53:01,792 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:53:02,096 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:53:02,096 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:53:02,455 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:03,805 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:53:07,503 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:12,529 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:13,891 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\config.yaml
2023-03-31 16:53:15,902 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:53:17,098 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:53:17,099 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:53:18,489 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:19,918 INFO    Thread-13 :3280 [dir_watcher.py:_on_file_modified():295] file/dir modified: D:\CV_LEARN\实战项目6：YOLOv5工地防护检测\windows软件\yolov5\wandb\run-20230331_165240-sy8szlg1\files\output.log
2023-03-31 16:53:24,022 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:29,086 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:32,111 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:53:32,111 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:53:34,525 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:39,574 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:44,613 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:46,517 DEBUG   SystemMonitor:3280 [system_monitor.py:_start():161] Starting system metrics aggregation loop
2023-03-31 16:53:46,518 DEBUG   SenderThread:3280 [sender.py:send():336] send: stats
2023-03-31 16:53:47,116 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:53:47,117 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:53:50,555 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:53:55,615 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:00,656 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:02,127 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:54:02,128 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:54:06,538 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:11,580 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:16,531 DEBUG   SenderThread:3280 [sender.py:send():336] send: stats
2023-03-31 16:54:17,131 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:54:17,131 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:54:17,503 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:22,523 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:27,579 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:32,153 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: stop_status
2023-03-31 16:54:32,153 DEBUG   SenderThread:3280 [sender.py:send_request():363] send_request: stop_status
2023-03-31 16:54:33,518 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
2023-03-31 16:54:38,565 DEBUG   HandlerThread:3280 [handler.py:handle_request():144] handle_request: status_report
